home_team,away_team,match_date,league,avg_goal_diff_h2h,h2h_home_winrate,home_form_winrate,away_form_winrate,home_avg_goals_scored,home_avg_goals_conceded,away_avg_goals_scored,away_avg_goals_conceded,h2h_draw_rate,h2h_total_goals,home_draw_rate,away_draw_rate,combined_draw_rate,form_differential,goals_differential,expected_total_goals,home_total_goals_avg,away_total_goals_avg,league_avg_goals,league_draw_rate,league_home_adv,home_momentum,away_momentum,momentum_differential,is_low_scoring,is_defensive_match,home_true_prob,draw_true_prob,away_true_prob,market_draw_confidence,market_favorite_confidence,market_competitiveness,odds_spread,result
Man City,Norwich,2021-08-21 00:00:00+00:00,PL,0.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.25,2.5,0.0,0.0,0.0,0.0,0.0,2.0,2.5,2.5,3.4,0.0,0.39999999999999997,0.5,0.5,0.0,1.0,1.0,0.3,0.39999999999999997,0.3,0.39999999999999997,0.3,1.0,1.0,H
Leeds,Everton,2021-08-21 00:00:00+00:00,PL,0.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.25,2.5,0.0,0.0,0.0,0.0,0.0,2.0,2.5,2.5,3.4,0.0,0.39999999999999997,0.5,0.5,0.0,1.0,1.0,0.3,0.39999999999999997,0.3,0.39999999999999997,0.3,1.0,1.0,D
Alaves,Mallorca,2021-08-21 00:00:00+00:00,PD,0.0,0.5,0.0,0.5,1.0,4.0,1.0,1.0,0.25,2.5,0.0,1.0,0.5,0.5,0.0,2.0,5.0,2.5,2.1818181818181817,0.5454545454545454,0.09090909090909088,0.0,0.5,0.5,0.0,0.0,0.3,0.24999999999999994,0.45,0.24999999999999994,0.45,0.85,1.0,A
Espanol,Villarreal,2021-08-21 00:00:00+00:00,PD,0.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.25,2.5,1.0,1.0,1.0,0.0,0.0,2.0,2.5,2.5,2.1818181818181817,0.5454545454545454,0.09090909090909088,0.5,0.5,0.0,0.0,1.0,0.3,0.39999999999999997,0.3,0.39999999999999997,0.3,1.0,1.0,D
Granada,Valencia,2021-08-21 00:00:00+00:00,PD,0.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.25,2.5,1.0,0.0,0.5,0.0,0.0,2.0,2.5,2.5,2.1818181818181817,0.5454545454545454,0.09090909090909088,0.5,0.5,0.0,0.0,1.0,0.3,0.39999999999999997,0.3,0.39999999999999997,0.3,1.0,1.0,D
Ath Bilbao,Barcelona,2021-08-21 00:00:00+00:00,PD,0.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.25,2.5,1.0,0.0,0.5,0.0,0.0,2.0,2.5,2.5,2.1818181818181817,0.5454545454545454,0.09090909090909088,0.5,0.5,0.0,0.0,1.0,0.3,0.39999999999999997,0.3,0.39999999999999997,0.3,1.0,1.0,D
Brighton,Watford,2021-08-21 00:00:00+00:00,PL,0.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.25,2.5,0.0,0.0,0.0,0.0,0.0,2.0,2.5,2.5,3.4,0.0,0.39999999999999997,0.5,0.5,0.0,1.0,1.0,0.3,0.39999999999999997,0.3,0.39999999999999997,0.3,1.0,1.0,H
Aston Villa,Newcastle,2021-08-21 00:00:00+00:00,PL,0.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.25,2.5,0.0,0.0,0.0,0.0,0.0,2.0,2.5,2.5,3.4,0.0,0.39999999999999997,0.5,0.5,0.0,1.0,1.0,0.3,0.39999999999999997,0.3,0.39999999999999997,0.3,1.0,1.0,H
Crystal Palace,Brentford,2021-08-21 00:00:00+00:00,PL,0.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.25,2.5,0.0,0.0,0.0,0.0,0.0,2.0,2.5,2.5,3.4,0.0,0.39999999999999997,0.5,0.5,0.0,1.0,1.0,0.3,0.39999999999999997,0.3,0.39999999999999997,0.3,1.0,1.0,D
Liverpool,Burnley,2021-08-21 00:00:00+00:00,PL,0.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.25,2.5,0.0,0.0,0.0,0.0,0.0,2.0,2.5,2.5,3.4,0.0,0.39999999999999997,0.5,0.5,0.0,1.0,1.0,0.3,0.39999999999999997,0.3,0.39999999999999997,0.3,1.0,1.0,H
