window,match_date,home_team,away_team,league,predicted,actual,correct,confidence,decimal_odds,profit
1,2022-08-31 00:00:00+00:00,Sampdoria,Lazio,SA,away_win,draw,False,0.584,1.85,-1.0
1,2022-08-31 00:00:00+00:00,Liverpool,Newcastle,PL,home_win,home_win,True,0.585,1.33,0.33
1,2022-08-31 00:00:00+00:00,Napoli,Lecce,SA,home_win,draw,False,0.646,1.25,-1.0
1,2022-08-31 00:00:00+00:00,Arsenal,Aston Villa,PL,home_win,home_win,True,0.595,1.45,0.45
1,2022-09-02 00:00:00+00:00,Dortmund,Hoffenheim,BL1,home_win,home_win,True,0.647,1.61,0.61
1,2022-09-03 00:00:00+00:00,Real Madrid,Betis,PD,home_win,home_win,True,0.608,1.4,0.4
1,2022-09-03 00:00:00+00:00,Aston Villa,Man City,PL,away_win,draw,False,0.629,1.33,-1.0
1,2022-09-03 00:00:00+00:00,Everton,Liverpool,PL,away_win,draw,False,0.558,1.4,-1.0
1,2022-09-03 00:00:00+00:00,Tottenham,Fulham,PL,home_win,home_win,True,0.569,1.5,0.5
1,2022-09-04 00:00:00+00:00,Villarreal,Elche,PD,home_win,home_win,True,0.617,1.33,0.33
1,2022-09-09 00:00:00+00:00,Werder Bremen,Augsburg,BL1,home_win,away_win,False,0.582,1.53,-1.0
1,2022-09-10 00:00:00+00:00,Bayern Munich,Stuttgart,BL1,home_win,draw,False,0.612,1.14,-1.0
1,2022-09-10 00:00:00+00:00,Cadiz,Barcelona,PD,away_win,away_win,True,0.68,1.22,0.22
1,2022-09-10 00:00:00+00:00,Inter,Torino,SA,home_win,home_win,True,0.604,1.45,0.45
1,2022-09-10 00:00:00+00:00,Napoli,Spezia,SA,home_win,home_win,True,0.661,1.25,0.25
1,2022-09-11 00:00:00+00:00,Real Madrid,Mallorca,PD,home_win,home_win,True,0.56,1.25,0.25
1,2022-09-11 00:00:00+00:00,Juventus,Salernitana,SA,home_win,draw,False,0.602,1.4,-1.0
1,2022-09-17 00:00:00+00:00,Wolves,Man City,PL,away_win,away_win,True,0.632,1.33,0.33
1,2022-09-17 00:00:00+00:00,Newcastle,Bournemouth,PL,home_win,draw,False,0.613,1.44,-1.0
1,2022-09-17 00:00:00+00:00,Augsburg,Bayern Munich,BL1,away_win,home_win,False,0.626,1.16,-1.0
1,2022-09-17 00:00:00+00:00,Barcelona,Elche,PD,home_win,home_win,True,0.734,1.08,0.08
1,2022-09-17 00:00:00+00:00,Dortmund,Schalke 04,BL1,home_win,home_win,True,0.706,1.36,0.36
1,2022-09-18 00:00:00+00:00,Cremonese,Lazio,SA,away_win,away_win,True,0.566,1.8,0.8
1,2022-09-30 00:00:00+00:00,Ath Bilbao,Almeria,PD,home_win,home_win,True,0.659,1.33,0.33
1,2022-10-01 00:00:00+00:00,Liverpool,Brighton,PL,home_win,draw,False,0.562,1.33,-1.0
1,2022-10-01 00:00:00+00:00,Mallorca,Barcelona,PD,away_win,away_win,True,0.621,1.36,0.36
1,2022-10-01 00:00:00+00:00,Leipzig,Bochum,BL1,home_win,home_win,True,0.56,1.22,0.22
1,2022-10-01 00:00:00+00:00,Cadiz,Villarreal,PD,away_win,draw,False,0.618,1.57,-1.0
1,2022-10-02 00:00:00+00:00,Real Madrid,Osasuna,PD,home_win,draw,False,0.598,1.3,-1.0
1,2022-10-02 00:00:00+00:00,Lazio,Spezia,SA,home_win,home_win,True,0.617,1.4,0.4
1,2022-10-02 00:00:00+00:00,Man City,Man United,PL,home_win,home_win,True,0.594,1.33,0.33
1,2022-10-08 00:00:00+00:00,Ath Madrid,Girona,PD,home_win,home_win,True,0.637,1.45,0.45
1,2022-10-08 00:00:00+00:00,Getafe,Real Madrid,PD,away_win,away_win,True,0.624,1.5,0.5
1,2022-10-08 00:00:00+00:00,Chelsea,Wolves,PL,home_win,home_win,True,0.64,1.4,0.4
1,2022-10-08 00:00:00+00:00,Leverkusen,Schalke 04,BL1,home_win,home_win,True,0.612,1.45,0.45
1,2022-10-08 00:00:00+00:00,Man City,Southampton,PL,home_win,home_win,True,0.703,1.11,0.11
1,2022-10-08 00:00:00+00:00,Bochum,Ein Frankfurt,BL1,away_win,home_win,False,0.552,1.9,-1.0
1,2022-10-09 00:00:00+00:00,Roma,Lecce,SA,home_win,home_win,True,0.648,1.33,0.33
1,2022-10-09 00:00:00+00:00,Cremonese,Napoli,SA,away_win,away_win,True,0.628,1.45,0.45
1,2022-10-09 00:00:00+00:00,West Ham,Fulham,PL,home_win,home_win,True,0.568,1.72,0.72
1,2022-10-09 00:00:00+00:00,Barcelona,Celta,PD,home_win,home_win,True,0.649,1.28,0.28
1,2022-10-15 00:00:00+00:00,Valencia,Elche,PD,home_win,draw,False,0.674,1.4,-1.0
1,2022-10-15 00:00:00+00:00,Tottenham,Everton,PL,home_win,home_win,True,0.557,1.5,0.5
1,2022-10-15 00:00:00+00:00,Leipzig,Hertha,BL1,home_win,home_win,True,0.606,1.4,0.4
1,2022-10-16 00:00:00+00:00,Verona,Milan,SA,away_win,away_win,True,0.585,1.57,0.57
1,2022-10-16 00:00:00+00:00,Leeds,Arsenal,PL,away_win,away_win,True,0.578,1.55,0.55
1,2022-10-16 00:00:00+00:00,Napoli,Bologna,SA,home_win,home_win,True,0.634,1.25,0.25
1,2022-10-16 00:00:00+00:00,Inter,Salernitana,SA,home_win,home_win,True,0.64,1.3,0.3
1,2022-10-16 00:00:00+00:00,Aston Villa,Chelsea,PL,away_win,away_win,True,0.569,1.8,0.8
1,2022-10-18 00:00:00+00:00,Brighton,Nott'm Forest,PL,home_win,draw,False,0.658,1.4,-1.0
1,2022-10-18 00:00:00+00:00,Ath Madrid,Vallecano,PD,home_win,draw,False,0.561,1.55,-1.0
